Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
ANT1,2450FM07A0029T,2450FM07A0029T,55.3,-15.713,-90.0,top
ANT1,2450FM07A0029T,2450FM07A0029T,55.3,-49.713,-90.0,top
ANT1,2450FM07A0029T,2450FM07A0029T,121.8,-32.713,-90.0,top
ANT1,2450FM07A0029T,2450FM07A0029T,121.8,-83.713,-90.0,top
ANT1,2450FM07A0029T,2450FM07A0029T,121.8,-66.713,-90.0,top
ANT1,2450FM07A0029T,2450FM07A0029T,121.8,-15.713,-90.0,top
ANT1,2450FM07A0029T,2450FM07A0029T,55.3,-83.713,-90.0,top
ANT1,2450FM07A0029T,2450FM07A0029T,121.8,-49.713,-90.0,top
ANT1,2450FM07A0029T,2450FM07A0029T,55.3,-66.713,-90.0,top
ANT1,2450FM07A0029T,2450FM07A0029T,55.3,-32.713,-90.0,top
C1,100nF,C_0402_1005Metric,90.02,-55.2,180.0,top
C1,100nF,C_0402_1005Metric,90.02,-38.2,180.0,top
C1,100nF,C_0402_1005Metric,23.52,-55.2,180.0,top
C1,100nF,C_0402_1005Metric,90.02,-72.2,180.0,top
C1,100nF,C_0402_1005Metric,23.52,-89.2,180.0,top
C1,100nF,C_0402_1005Metric,23.52,-21.2,180.0,top
C1,100nF,C_0402_1005Metric,23.52,-38.2,180.0,top
C1,100nF,C_0402_1005Metric,90.02,-21.2,180.0,top
C1,100nF,C_0402_1005Metric,90.02,-89.2,180.0,top
C1,100nF,C_0402_1005Metric,23.52,-72.2,180.0,top
C10,100nF,C_0402_1005Metric,110.625,-69.225,0.0,top
C10,100nF,C_0402_1005Metric,44.125,-52.225,0.0,top
C10,100nF,C_0402_1005Metric,110.625,-52.225,0.0,top
C10,100nF,C_0402_1005Metric,44.125,-69.225,0.0,top
C10,100nF,C_0402_1005Metric,110.625,-35.225,0.0,top
C10,100nF,C_0402_1005Metric,44.125,-18.225,0.0,top
C10,100nF,C_0402_1005Metric,44.125,-35.225,0.0,top
C10,100nF,C_0402_1005Metric,110.625,-18.225,0.0,top
C10,100nF,C_0402_1005Metric,44.125,-86.225,0.0,top
C10,100nF,C_0402_1005Metric,110.625,-86.225,0.0,top
C11,100nF,C_0402_1005Metric,112.925,-11.025,0.0,top
C11,100nF,C_0402_1005Metric,46.425,-79.025,0.0,top
C11,100nF,C_0402_1005Metric,112.925,-79.025,0.0,top
C11,100nF,C_0402_1005Metric,46.425,-62.025,0.0,top
C11,100nF,C_0402_1005Metric,46.425,-28.025,0.0,top
C11,100nF,C_0402_1005Metric,46.425,-11.025,0.0,top
C11,100nF,C_0402_1005Metric,112.925,-28.025,0.0,top
C11,100nF,C_0402_1005Metric,46.425,-45.025,0.0,top
C11,100nF,C_0402_1005Metric,112.925,-62.025,0.0,top
C11,100nF,C_0402_1005Metric,112.925,-45.025,0.0,top
C12,1uF,C_0402_1005Metric,39.3,-35.68,-90.0,top
C12,1uF,C_0402_1005Metric,105.8,-18.68,-90.0,top
C12,1uF,C_0402_1005Metric,39.3,-69.68,-90.0,top
C12,1uF,C_0402_1005Metric,39.3,-52.68,-90.0,top
C12,1uF,C_0402_1005Metric,105.8,-52.68,-90.0,top
C12,1uF,C_0402_1005Metric,39.3,-18.68,-90.0,top
C12,1uF,C_0402_1005Metric,105.8,-86.68,-90.0,top
C12,1uF,C_0402_1005Metric,39.3,-86.68,-90.0,top
C12,1uF,C_0402_1005Metric,105.8,-35.68,-90.0,top
C12,1uF,C_0402_1005Metric,105.8,-69.68,-90.0,top
C13,100nF,C_0402_1005Metric,88.1,-15.3,180.0,top
C13,100nF,C_0402_1005Metric,88.1,-32.3,180.0,top
C13,100nF,C_0402_1005Metric,21.6,-49.3,180.0,top
C13,100nF,C_0402_1005Metric,21.6,-32.3,180.0,top
C13,100nF,C_0402_1005Metric,88.1,-66.3,180.0,top
C13,100nF,C_0402_1005Metric,88.1,-83.3,180.0,top
C13,100nF,C_0402_1005Metric,21.6,-15.3,180.0,top
C13,100nF,C_0402_1005Metric,88.1,-49.3,180.0,top
C13,100nF,C_0402_1005Metric,21.6,-66.3,180.0,top
C13,100nF,C_0402_1005Metric,21.6,-83.3,180.0,top
C14,100nF,C_0402_1005Metric,94.72,-21.2,0.0,top
C14,100nF,C_0402_1005Metric,28.22,-38.2,0.0,top
C14,100nF,C_0402_1005Metric,94.72,-38.2,0.0,top
C14,100nF,C_0402_1005Metric,28.22,-89.2,0.0,top
C14,100nF,C_0402_1005Metric,94.72,-72.2,0.0,top
C14,100nF,C_0402_1005Metric,28.22,-21.2,0.0,top
C14,100nF,C_0402_1005Metric,28.22,-55.2,0.0,top
C14,100nF,C_0402_1005Metric,28.22,-72.2,0.0,top
C14,100nF,C_0402_1005Metric,94.72,-89.2,0.0,top
C14,100nF,C_0402_1005Metric,94.72,-55.2,0.0,top
C15,100nF,C_0402_1005Metric,97.85,-33.55,-90.0,top
C15,100nF,C_0402_1005Metric,31.35,-33.55,-90.0,top
C15,100nF,C_0402_1005Metric,31.35,-50.55,-90.0,top
C15,100nF,C_0402_1005Metric,97.85,-16.55,-90.0,top
C15,100nF,C_0402_1005Metric,97.85,-67.55,-90.0,top
C15,100nF,C_0402_1005Metric,97.85,-50.55,-90.0,top
C15,100nF,C_0402_1005Metric,31.35,-84.55,-90.0,top
C15,100nF,C_0402_1005Metric,97.85,-84.55,-90.0,top
C15,100nF,C_0402_1005Metric,31.35,-16.55,-90.0,top
C15,100nF,C_0402_1005Metric,31.35,-67.55,-90.0,top
C16,100nF,C_0402_1005Metric,88.1,-47.3,180.0,top
C16,100nF,C_0402_1005Metric,21.6,-30.3,180.0,top
C16,100nF,C_0402_1005Metric,21.6,-64.3,180.0,top
C16,100nF,C_0402_1005Metric,88.1,-64.3,180.0,top
C16,100nF,C_0402_1005Metric,21.6,-47.3,180.0,top
C16,100nF,C_0402_1005Metric,88.1,-30.3,180.0,top
C16,100nF,C_0402_1005Metric,88.1,-81.3,180.0,top
C16,100nF,C_0402_1005Metric,88.1,-13.3,180.0,top
C16,100nF,C_0402_1005Metric,21.6,-81.3,180.0,top
C16,100nF,C_0402_1005Metric,21.6,-13.3,180.0,top
C17,100nF,C_0402_1005Metric,23.58,-79.9,180.0,top
C17,100nF,C_0402_1005Metric,90.08,-45.9,180.0,top
C17,100nF,C_0402_1005Metric,90.08,-28.9,180.0,top
C17,100nF,C_0402_1005Metric,90.08,-62.9,180.0,top
C17,100nF,C_0402_1005Metric,90.08,-11.9,180.0,top
C17,100nF,C_0402_1005Metric,23.58,-11.9,180.0,top
C17,100nF,C_0402_1005Metric,90.08,-79.9,180.0,top
C17,100nF,C_0402_1005Metric,23.58,-62.9,180.0,top
C17,100nF,C_0402_1005Metric,23.58,-45.9,180.0,top
C17,100nF,C_0402_1005Metric,23.58,-28.9,180.0,top
C18,100nF,C_0402_1005Metric,31.35,-28.45,90.0,top
C18,100nF,C_0402_1005Metric,31.35,-79.45,90.0,top
C18,100nF,C_0402_1005Metric,31.35,-11.45,90.0,top
C18,100nF,C_0402_1005Metric,97.85,-11.45,90.0,top
C18,100nF,C_0402_1005Metric,31.35,-45.45,90.0,top
C18,100nF,C_0402_1005Metric,97.85,-79.45,90.0,top
C18,100nF,C_0402_1005Metric,97.85,-45.45,90.0,top
C18,100nF,C_0402_1005Metric,97.85,-28.45,90.0,top
C18,100nF,C_0402_1005Metric,31.35,-62.45,90.0,top
C18,100nF,C_0402_1005Metric,97.85,-62.45,90.0,top
C19,100nF,C_0402_1005Metric,86.7,-14.1,90.0,top
C19,100nF,C_0402_1005Metric,20.2,-14.1,90.0,top
C19,100nF,C_0402_1005Metric,86.7,-31.1,90.0,top
C19,100nF,C_0402_1005Metric,20.2,-31.1,90.0,top
C19,100nF,C_0402_1005Metric,20.2,-48.1,90.0,top
C19,100nF,C_0402_1005Metric,20.2,-82.1,90.0,top
C19,100nF,C_0402_1005Metric,86.7,-48.1,90.0,top
C19,100nF,C_0402_1005Metric,20.2,-65.1,90.0,top
C19,100nF,C_0402_1005Metric,86.7,-65.1,90.0,top
C19,100nF,C_0402_1005Metric,86.7,-82.1,90.0,top
C2,100nF,C_0402_1005Metric,88.1,-14.3,180.0,top
C2,100nF,C_0402_1005Metric,88.1,-82.3,180.0,top
C2,100nF,C_0402_1005Metric,21.6,-65.3,180.0,top
C2,100nF,C_0402_1005Metric,21.6,-14.3,180.0,top
C2,100nF,C_0402_1005Metric,88.1,-31.3,180.0,top
C2,100nF,C_0402_1005Metric,21.6,-31.3,180.0,top
C2,100nF,C_0402_1005Metric,21.6,-82.3,180.0,top
C2,100nF,C_0402_1005Metric,88.1,-65.3,180.0,top
C2,100nF,C_0402_1005Metric,21.6,-48.3,180.0,top
C2,100nF,C_0402_1005Metric,88.1,-48.3,180.0,top
C20,1uF,C_0402_1005Metric,86.7,-49.95,-90.0,top
C20,1uF,C_0402_1005Metric,86.7,-15.95,-90.0,top
C20,1uF,C_0402_1005Metric,20.2,-32.95,-90.0,top
C20,1uF,C_0402_1005Metric,20.2,-15.95,-90.0,top
C20,1uF,C_0402_1005Metric,86.7,-32.95,-90.0,top
C20,1uF,C_0402_1005Metric,20.2,-66.95,-90.0,top
C20,1uF,C_0402_1005Metric,20.2,-83.95,-90.0,top
C20,1uF,C_0402_1005Metric,86.7,-83.95,-90.0,top
C20,1uF,C_0402_1005Metric,86.7,-66.95,-90.0,top
C20,1uF,C_0402_1005Metric,20.2,-49.95,-90.0,top
C21,1uF,C_0402_1005Metric,21.62,-63.35,180.0,top
C21,1uF,C_0402_1005Metric,21.62,-46.35,180.0,top
C21,1uF,C_0402_1005Metric,88.12,-80.35,180.0,top
C21,1uF,C_0402_1005Metric,21.62,-12.35,180.0,top
C21,1uF,C_0402_1005Metric,88.12,-12.35,180.0,top
C21,1uF,C_0402_1005Metric,88.12,-46.35,180.0,top
C21,1uF,C_0402_1005Metric,21.62,-29.35,180.0,top
C21,1uF,C_0402_1005Metric,88.12,-63.35,180.0,top
C21,1uF,C_0402_1005Metric,21.62,-80.35,180.0,top
C21,1uF,C_0402_1005Metric,88.12,-29.35,180.0,top
C22,100nF,C_0402_1005Metric,31.35,-14.65,-90.0,top
C22,100nF,C_0402_1005Metric,31.35,-65.65,-90.0,top
C22,100nF,C_0402_1005Metric,31.35,-31.65,-90.0,top
C22,100nF,C_0402_1005Metric,97.85,-48.65,-90.0,top
C22,100nF,C_0402_1005Metric,97.85,-65.65,-90.0,top
C22,100nF,C_0402_1005Metric,31.35,-82.65,-90.0,top
C22,100nF,C_0402_1005Metric,97.85,-82.65,-90.0,top
C22,100nF,C_0402_1005Metric,97.85,-31.65,-90.0,top
C22,100nF,C_0402_1005Metric,31.35,-48.65,-90.0,top
C22,100nF,C_0402_1005Metric,97.85,-14.65,-90.0,top
C23,1nF,C_0402_1005Metric,51.05,-62.72,90.0,top
C23,1nF,C_0402_1005Metric,51.05,-28.72,90.0,top
C23,1nF,C_0402_1005Metric,117.55,-79.72,90.0,top
C23,1nF,C_0402_1005Metric,51.05,-45.72,90.0,top
C23,1nF,C_0402_1005Metric,117.55,-45.72,90.0,top
C23,1nF,C_0402_1005Metric,117.55,-28.72,90.0,top
C23,1nF,C_0402_1005Metric,117.55,-62.72,90.0,top
C23,1nF,C_0402_1005Metric,51.05,-11.72,90.0,top
C23,1nF,C_0402_1005Metric,51.05,-79.72,90.0,top
C23,1nF,C_0402_1005Metric,117.55,-11.72,90.0,top
C3,100nF,C_0402_1005Metric,27.12,-79.9,180.0,top
C3,100nF,C_0402_1005Metric,93.62,-28.9,180.0,top
C3,100nF,C_0402_1005Metric,27.12,-45.9,180.0,top
C3,100nF,C_0402_1005Metric,93.62,-11.9,180.0,top
C3,100nF,C_0402_1005Metric,93.62,-79.9,180.0,top
C3,100nF,C_0402_1005Metric,93.62,-45.9,180.0,top
C3,100nF,C_0402_1005Metric,27.12,-11.9,180.0,top
C3,100nF,C_0402_1005Metric,27.12,-28.9,180.0,top
C3,100nF,C_0402_1005Metric,93.62,-62.9,180.0,top
C3,100nF,C_0402_1005Metric,27.12,-62.9,180.0,top
C4,100nF,C_0402_1005Metric,21.605,-50.3,180.0,top
C4,100nF,C_0402_1005Metric,88.105,-33.3,180.0,top
C4,100nF,C_0402_1005Metric,21.605,-33.3,180.0,top
